"Clasif","Pos.","Equipo","Pts","PJ","PG","PE","PP","GF","GC","Dif.","X","factor"
2014,1,"Argentina",32,16,9,5,2,35,15,"20",66.6666666666667,"SI"
2014,2,"Colombia",30,16,9,3,4,27,13,"14",62.5,"SI"
2014,3,"Chile",28,16,9,1,6,29,25,"4",58.3333333333333,"SI"
2014,4,"Ecuador",25,16,7,4,5,20,16,"4",52.0833333333333,"SI"
2014,5,"Uruguay",25,16,7,4,5,25,25,"0",52.0833333333333,"SI"
2014,6,"Venezuela",20,16,5,5,6,14,20,"-6",41.6666666666667,"NO"
2014,7,"Perú",15,16,4,3,9,17,26,"-9",31.25,"NO"
2014,8,"Bolivia",12,16,2,6,8,17,30,"-13",25,"NO"
2014,9,"Paraguay",12,16,3,3,10,17,31,"-14",25,"NO"
2010,1,"Brasil",34,18,9,7,2,33,11,"22",62.962962962963,"SI"
2010,2,"Chile",33,18,10,3,5,32,22,"10",61.1111111111111,"SI"
2010,3,"Paraguay",33,18,10,3,5,24,16,"8",61.1111111111111,"SI"
2010,4,"Argentina",28,18,8,4,6,23,20,"3",51.8518518518518,"SI"
2010,5,"Uruguay",24,18,6,6,6,28,20,"8",44.4444444444444,"SI"
2010,6,"Ecuador",23,18,6,5,7,22,26,"–4",42.5925925925926,"NO"
2010,7,"Colombia",23,18,6,5,7,14,18,"–4",42.5925925925926,"NO"
2010,8,"Venezuela",22,18,6,4,8,23,29,"–6",40.7407407407407,"NO"
2010,9,"Bolivia",15,18,4,3,11,22,36,"–14",27.7777777777778,"NO"
2010,10,"Perú",13,18,3,4,11,11,34,"–23",24.0740740740741,"NO"
2006,1,"Brasil",34,18,9,7,2,35,17,"18",62.962962962963,"SI"
2006,2,"Argentina",34,18,10,4,4,29,17,"12",62.962962962963,"SI"
2006,3,"Ecuador",28,18,8,4,6,23,19,"4",51.8518518518518,"SI"
2006,4,"Paraguay",28,18,8,4,6,23,23,"0",51.8518518518518,"SI"
2006,5,"Uruguay",25,18,6,7,5,23,28,"–5",46.2962962962963,"SI"
2006,6,"Colombia",24,18,6,6,6,24,16,"8",44.4444444444444,"NO"
2006,7,"Chile",22,18,5,7,6,18,22,"–4",40.7407407407407,"NO"
2006,8,"Venezuela",18,18,5,3,10,20,28,"–8",33.3333333333333,"NO"
2006,9,"Perú",18,18,4,6,8,20,28,"–8",33.3333333333333,"NO"
2006,10,"Bolivia",14,18,4,2,12,20,37,"–17",25.9259259259259,"NO"
2002,1,"Argentina",43,18,13,4,1,42,15,"27",79.6296296296296,"SI"
2002,2,"Ecuador",31,18,9,4,5,23,20,"3",57.4074074074074,"SI"
2002,3,"Brasil",30,18,9,3,6,31,17,"14",55.5555555555556,"SI"
2002,4,"Paraguay",30,18,9,3,6,29,23,"6",55.5555555555556,"SI"
2002,5,"Uruguay",27,18,7,6,5,19,13,"6",50,"SI"
2002,6,"Colombia",27,18,7,6,5,20,15,"5",50,"NO"
2002,7,"Bolivia",18,18,4,6,8,21,33,"–12",33.3333333333333,"NO"
2002,8,"Perú",16,18,4,4,10,14,25,"–11",29.6296296296296,"NO"
2002,9,"Venezuela",16,18,5,1,12,18,44,"–26",29.6296296296296,"NO"
2002,10,"Chile",12,18,3,3,12,15,27,"–12",22.2222222222222,"NO"
1998,1,"Argentina",30,16,8,6,2,23,13,"10",62.5,"SI"
1998,2,"Paraguay",29,16,9,2,5,21,14,"7",60.4166666666667,"SI"
1998,3,"Colombia",28,16,8,4,4,23,15,"8",58.3333333333333,"SI"
1998,4,"Chile",25,16,7,4,5,32,18,"14",52.0833333333333,"SI"
1998,5,"Perú",25,16,7,4,5,19,20,"–1",52.0833333333333,"NO"
1998,6,"Ecuador",21,16,6,3,7,22,21,"1",43.75,"NO"
1998,7,"Uruguay",21,16,6,3,7,18,21,"–3",43.75,"NO"
1998,8,"Bolivia",17,16,4,5,7,18,21,"–3",35.4166666666667,"NO"
1998,9,"Venezuela",3,16,0,3,13,8,41,"–33",6.25,"NO"
